# source time function
# time function type  : 1
# amplification factor:  1.00000E+10
# DT                  :  3.00000E-03
# t0                  :  4.00000E-01
# time shift          :  0.00000E+00
# format
#time  #used_STF  #initial_source_function_value
 -0.193000004      -2.05393318E+09 -0.20539331840000000     
 -0.189999998      -2.19197670E+09 -0.21919767039999999     
 -0.187000006      -2.33367168E+09 -0.23336716800000001     
 -0.184000000      -2.47845146E+09 -0.24784514560000001     
 -0.180999994      -2.62566426E+09 -0.26256642559999999     
 -0.178000003      -2.77457024E+09 -0.27745702400000000     
 -0.174999997      -2.92434125E+09 -0.29243412479999997     
 -0.172000006      -3.07405926E+09 -0.30740592639999997     
 -0.169000000      -3.22271667E+09 -0.32227166720000000     
 -0.165999994      -3.36921830E+09 -0.33692183040000001     
 -0.163000003      -3.51238400E+09 -0.35123840000000001     
 -0.159999996      -3.65095194E+09 -0.36509519359999998     
 -0.157000005      -3.78358451E+09 -0.37835845120000000     
 -0.153999999      -3.90887450E+09 -0.39088744959999999     
 -0.150999993      -4.02535270E+09 -0.40253527039999998     
 -0.148000002      -4.13149773E+09 -0.41314977279999998     
 -0.144999996      -4.22574720E+09 -0.42257472000000001     
 -0.142000005      -4.30650931E+09 -0.43065093119999998     
 -0.138999999      -4.37217587E+09 -0.43721758719999998     
 -0.136000007      -4.42113741E+09 -0.44211374079999999     
 -0.133000001      -4.45179955E+09 -0.44517995519999998     
 -0.129999995      -4.46260019E+09 -0.44626001920000002     
 -0.127000004      -4.45202586E+09 -0.44520258559999998     
 -0.123999998      -4.41863219E+09 -0.44186321919999999     
 -0.120999999      -4.36106138E+09 -0.43610613760000000     
 -0.118000001      -4.27806310E+09 -0.42780631040000000     
 -0.115000002      -4.16851354E+09 -0.41685135359999997     
 -0.112000003      -4.03143347E+09 -0.40314334720000000     
 -0.108999997      -3.86601037E+09 -0.38660103680000002     
 -0.105999999      -3.67161421E+09 -0.36716142080000003     
 -0.103000000      -3.44781491E+09 -0.34478149120000001     
 -0.100000001      -3.19439949E+09 -0.31943994879999998     
  -9.70000029E-02  -2.91138637E+09 -0.29113863680000002     
  -9.39999968E-02  -2.59903693E+09 -0.25990369279999997     
  -9.09999982E-02  -2.25786752E+09 -0.22578675200000001     
  -8.79999995E-02  -1.88865626E+09 -0.18886562560000000     
  -8.50000009E-02  -1.49245018E+09 -0.14924501760000000     
  -8.20000023E-02  -1.07056672E+09 -0.10705667200000001     
  -7.90000036E-02  -624594048.      -6.2459404800000000E-002
  -7.59999976E-02  -156388112.      -1.5638811200000002E-002
  -7.29999989E-02   331934144.       3.3193414400000003E-002
  -7.00000003E-02   838004352.       8.3800435199999995E-002
  -6.70000017E-02   1.35921587E+09  0.13592158720000000     
  -6.40000030E-02   1.89273958E+09  0.18927395840000000     
  -6.10000007E-02   2.43554355E+09  0.24355435519999999     
  -5.79999983E-02   2.98441549E+09  0.29844154880000001     
  -5.49999997E-02   3.53598771E+09  0.35359877119999999     
  -5.20000011E-02   4.08676480E+09  0.40867648000000001     
  -4.89999987E-02   4.63315354E+09  0.46331535359999998     
  -4.60000001E-02   5.17149645E+09  0.51714964480000003     
  -4.30000015E-02   5.69810278E+09  0.56981027839999998     
  -3.99999991E-02   6.20928666E+09  0.62092866560000004     
  -3.70000005E-02   6.70140006E+09  0.67014000640000004     
  -3.40000018E-02   7.17087130E+09  0.71708712959999998     
  -3.09999995E-02   7.61423923E+09  0.76142392319999996     
  -2.80000009E-02   8.02819123E+09  0.80281912320000004     
  -2.50000004E-02   8.40959539E+09  0.84095953919999999     
  -2.19999999E-02   8.75553382E+09  0.87555338240000002     
  -1.89999994E-02   9.06333491E+09  0.90633349119999995     
  -1.60000008E-02   9.33060403E+09  0.93306040320000005     
  -1.30000003E-02   9.55524403E+09  0.95552440319999998     
  -9.99999978E-03   9.73548544E+09  0.97354854400000002     
  -7.00000022E-03   9.86989773E+09  0.98698977280000000     
  -4.00000019E-03   9.95741389E+09  0.99574138879999996     
  -1.00000005E-03   9.99733555E+09  0.99973355519999996     
   2.00000009E-03   9.98934426E+09  0.99893442560000001     
   4.99999989E-03   9.93350349E+09  0.99335034879999995     
   8.00000038E-03   9.83025869E+09  0.98302586879999998     
   1.09999999E-02   9.68043418E+09  0.96804341760000001     
   1.40000004E-02   9.48521677E+09  0.94852167679999999     
   1.70000009E-02   9.24615373E+09  0.92461537279999995     
   1.99999996E-02   8.96512614E+09  0.89651261439999996     
   2.30000000E-02   8.64433152E+09  0.86443315200000004     
   2.60000005E-02   8.28626227E+09  0.82862622720000001     
   2.89999992E-02   7.89367398E+09  0.78936739840000003     
   3.20000015E-02   7.46955878E+09  0.74695587840000000     
   3.50000001E-02   7.01711309E+09  0.70171130879999999     
   3.79999988E-02   6.53970381E+09  0.65397038080000003     
   4.10000011E-02   6.04083200E+09  0.60408320000000004     
   4.39999998E-02   5.52409958E+09  0.55240995839999996     
   4.69999984E-02   4.99317043E+09  0.49931704319999998     
   5.00000007E-02   4.45173658E+09  0.44517365759999999     
   5.29999994E-02   3.90348083E+09  0.39034808319999997     
   5.60000017E-02   3.35204352E+09  0.33520435199999998     
   5.90000004E-02   2.80098893E+09  0.28009889280000000     
   6.19999990E-02   2.25377254E+09  0.22537725440000000     
   6.49999976E-02   1.71371341E+09  0.17137134079999999     
   6.80000037E-02   1.18396659E+09  0.11839665920000000     
