2025-09-05 14:55:04 [WARN] | data already found in 058/traces/obs/*, skipping data preparation
2025-09-05 14:55:04 [INFO] | evaluating objective function for source 058
2025-09-05 14:55:04 [DEBU] | running forward simulation with 'Specfem2D'
2025-09-05 14:55:04 [DEBU] | running executable with cmd: 'mpirun -n 7 bin/xmeshfem2D'
2025-09-05 14:55:06 [DEBU] | running executable with cmd: 'mpirun -n 7 bin/xspecfem2D'
2025-09-05 14:56:29 [INFO] | FINISH FORWARD SIMULATION: 058
2025-09-05 14:56:29 [DEBU] | quantifying misfit with 'Default'
2025-09-05 15:01:46 [DEBU] | found 5000 obs and 5000 syn waveforms for given paths
2025-09-05 15:01:46 [INFO] | 5000 traces matching between `obs` and `syn`
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000008..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000008..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000018..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000018..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000001..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000035..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000036..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000001..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000037..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000038..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000035..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000040..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000039..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000041..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000042..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000043..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000044..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000036..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000037..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000038..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000041..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000040..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000049..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000047..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000045..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000046..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000002..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000039..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000044..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000052..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000042..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000053..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000049..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000054..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000043..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000046..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000047..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000045..PRE misfit=6.469E+00
2025-09-05 15:01:47 [DEBU] | AA.S000002..PRE misfit=6.469E+00
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000058..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000055..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000057..PRE
2025-09-05 15:01:47 [INFO] | PREPROCESSING AA.S000059..PRE
2025-09-05 15:01:47 [DEBU] | AA.S000052..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000054..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000053..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000062..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000064..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000061..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000057..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000063..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000051..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000055..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000058..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000059..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000063..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000064..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000061..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000051..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000062..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000089..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000090..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000091..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000092..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000093..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000089..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000092..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000090..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000096..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000093..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000094..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000097..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000099..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000098..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000091..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000101..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000100..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000095..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000102..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000104..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000103..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000105..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000096..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000099..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000097..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000098..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000101..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000094..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000095..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000107..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000106..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000100..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000105..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000108..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000109..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000103..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000102..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000104..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000110..PRE
2025-09-05 15:01:48 [DEBU] | AA.S000106..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000108..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000107..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000109..PRE misfit=6.469E+00
2025-09-05 15:01:48 [DEBU] | AA.S000110..PRE misfit=6.469E+00
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000129..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000131..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000132..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000130..PRE
2025-09-05 15:01:48 [INFO] | PREPROCESSING AA.S000133..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000129..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000134..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000136..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000131..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000135..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000132..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000137..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000138..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000139..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000141..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000140..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000134..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000142..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000143..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000130..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000145..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000144..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000136..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000135..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000133..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000139..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000137..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000138..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000141..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000140..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000143..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000142..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000145..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000147..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000148..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000146..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000149..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000150..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000144..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000151..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000146..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000152..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000148..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000153..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000147..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000155..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000154..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000149..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000156..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000060..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000150..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000158..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000151..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000157..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000161..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000159..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000160..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000155..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000152..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000162..PRE
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000164..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000154..PRE misfit=6.469E+00
2025-09-05 15:01:49 [INFO] | PREPROCESSING AA.S000163..PRE
2025-09-05 15:01:49 [DEBU] | AA.S000158..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000153..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000156..PRE misfit=6.469E+00
2025-09-05 15:01:49 [DEBU] | AA.S000157..PRE misfit=6.469E+00
