2025-09-05 14:55:05 [WARN] | data already found in 073/traces/obs/*, skipping data preparation
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000028..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000186..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000093..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000023..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000025..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000092..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000049..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000002..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000085..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000018..PRE
2025-09-05 15:42:34 [DEBU] | AA.S000080..PRE misfit=6.469E+00
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000024..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000013..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000091..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000082..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000103..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000059..PRE
2025-09-05 15:42:34 [DEBU] | AA.S000077..PRE misfit=6.469E+00
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000145..PRE
2025-09-05 15:42:34 [DEBU] | AA.S000015..PRE misfit=6.469E+00
2025-09-05 15:42:34 [DEBU] | AA.S000084..PRE misfit=6.469E+00
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000014..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000328..PRE
2025-09-05 15:42:34 [DEBU] | AA.S000055..PRE misfit=6.469E+00
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000111..PRE
2025-09-05 15:42:34 [DEBU] | AA.S000186..PRE misfit=6.469E+00
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000066..PRE
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000086..PRE
2025-09-05 15:42:34 [DEBU] | AA.S000093..PRE misfit=6.469E+00
2025-09-05 15:42:34 [INFO] | PREPROCESSING AA.S000027..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000092..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000089..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000028..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000002..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000008..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000091..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000023..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000081..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000103..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000336..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000013..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000024..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000018..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000049..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000025..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000085..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000328..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000145..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000014..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000082..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000195..PRE
2025-09-05 15:42:35 [DEBU] | AA.S000059..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000111..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000066..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000027..PRE misfit=6.469E+00
2025-09-05 15:42:35 [DEBU] | AA.S000086..PRE misfit=6.469E+00
2025-09-05 15:42:35 [INFO] | PREPROCESSING AA.S000079..PRE
