2025-09-07 01:10:06 [DEBU] | solver parameters to be updated are: ['vp']
2025-09-07 01:11:09 [DEBU] | optimize.LBFGS
2025-09-07 01:11:09 [INFO] | no optimization checkpoint file, assume 1st iteration
2025-09-07 01:11:14 [INFO] | 
================================================================================
                              RUNNING ITERATION 01                              
================================================================================
2025-09-07 01:11:14 [INFO] | 
////////////////////////////////////////////////////////////////////////////////
                            GENERATE SYNTHETIC DATA                             
////////////////////////////////////////////////////////////////////////////////
2025-09-07 01:11:14 [INFO] | checking true/target model parameters:
2025-09-07 01:11:14 [INFO] | vp: min=3600.000; mean=3999.825; max=4400.000
2025-09-07 01:11:14 [INFO] | running functions ['_generate_synthetic_data_single'] on system 100 times
2025-09-07 01:11:14 [DEBU] |  /csim2/lty_zcg/Program_study/seisflows_study/seisflows/seisflows/system/runscripts/run --funcs /csim2/lty_zcg/Program_study/seisflows_study/09_test_create_model/scratch_acoustic/scratch/system/_generate_synthetic_data_single.p --kwargs /csim2/lty_zcg/Program_study/seisflows_study/09_test_create_model/scratch_acoustic/scratch/system/_generate_synthetic_data_single_kwargs.p --environment SEISFLOWS_TASKID={task_id},
2025-09-07 01:11:14 [DEBU] | running task id 0
2025-09-07 01:11:14 [DEBU] | running task id 1
2025-09-07 01:11:14 [DEBU] | running task id 2
2025-09-07 01:11:14 [DEBU] | running task id 3
2025-09-07 01:11:14 [DEBU] | running task id 4
2025-09-07 01:11:14 [DEBU] | running task id 5
2025-09-07 01:11:15 [DEBU] | running task id 6
2025-09-07 01:11:15 [DEBU] | running task id 7
2025-09-07 01:11:15 [DEBU] | running task id 8
2025-09-07 01:11:15 [DEBU] | running task id 9
2025-09-07 01:11:15 [DEBU] | running task id 10
2025-09-07 01:11:15 [DEBU] | running task id 11
2025-09-07 01:11:15 [DEBU] | running task id 12
2025-09-07 01:11:15 [DEBU] | running task id 13
2025-09-07 01:11:15 [DEBU] | running task id 14
2025-09-07 01:11:15 [DEBU] | running task id 15
2025-09-07 01:11:15 [DEBU] | running task id 16
2025-09-07 01:11:15 [DEBU] | running task id 17
2025-09-07 01:11:15 [DEBU] | running task id 18
2025-09-07 01:11:15 [DEBU] | running task id 19
2025-09-07 01:11:15 [DEBU] | running task id 20
2025-09-07 01:11:15 [DEBU] | running task id 21
2025-09-07 01:11:15 [DEBU] | running task id 22
2025-09-07 01:11:15 [DEBU] | running task id 23
2025-09-07 01:11:15 [DEBU] | running task id 27
2025-09-07 01:11:15 [DEBU] | running task id 24
2025-09-07 01:11:15 [DEBU] | running task id 25
2025-09-07 01:11:15 [DEBU] | running task id 26
2025-09-07 01:11:15 [DEBU] | running task id 28
2025-09-07 01:11:15 [DEBU] | running task id 29
2025-09-07 01:11:15 [DEBU] | running task id 30
2025-09-07 01:11:15 [DEBU] | running task id 31
2025-09-07 01:11:15 [DEBU] | running task id 32
2025-09-07 01:11:15 [DEBU] | running task id 33
2025-09-07 01:11:15 [DEBU] | running task id 34
2025-09-07 01:11:15 [DEBU] | running task id 35
2025-09-07 01:11:15 [DEBU] | running task id 36
2025-09-07 01:11:15 [DEBU] | running task id 37
2025-09-07 01:11:15 [DEBU] | running task id 38
2025-09-07 01:11:15 [DEBU] | running task id 39
2025-09-07 01:11:15 [DEBU] | running task id 40
2025-09-07 01:11:15 [DEBU] | running task id 41
2025-09-07 01:11:15 [DEBU] | running task id 42
2025-09-07 01:11:15 [DEBU] | running task id 43
2025-09-07 01:11:15 [DEBU] | running task id 44
2025-09-07 01:11:15 [DEBU] | running task id 45
2025-09-07 01:11:15 [DEBU] | running task id 46
2025-09-07 01:11:15 [DEBU] | running task id 47
2025-09-07 01:11:15 [DEBU] | running task id 48
2025-09-07 01:11:15 [DEBU] | running task id 49
2025-09-07 01:11:15 [DEBU] | running task id 51
